pc4,stedelijkheid,third_places_total_ranked,third_places_non_medical_total_ranked,third_places_medical_ranked,third_places_food_beverage_ranked,third_places_retail_ranked,third_places_community_ranked,third_places_cultural_ranked,third_places_sport_leisure_ranked,third_places_non_medical_non_retail_total_ranked,third_places_total_ranked_by_urbanisation,third_places_non_medical_total_ranked_by_urbanisation,third_places_medical_ranked_by_urbanisation,third_places_food_beverage_ranked_by_urbanisation,third_places_retail_ranked_by_urbanisation,third_places_community_ranked_by_urbanisation,third_places_cultural_ranked_by_urbanisation,third_places_sport_leisure_ranked_by_urbanisation,third_places_non_medical_non_retail_total_ranked_by_urbanisation
4458,5,36.68068266139006,35.65335640993943,39.285714285714285,23.959417273673257,35.99497802887633,41.62036438816384,33.57995846313603,37.55316487365524,35.61779650514314,68.66277594519158,66.04108546791782,72.88265306122449,44.410370783384444,67.24228152799581,68.59275642797898,61.532033426183844,68.50986500519211,64.98470948012233
4461,2,98.54068760821171,98.56595376437137,97.28422619047619,98.23100936524453,99.14626490897678,96.53702028685876,87.64278296988577,90.65549161871404,97.12479861197174,99.52229299363057,99.52229299363057,96.73566878980891,98.88,99.68152866242038,96.40575079872204,82.20271348762968,83.51910828025477,97.77070063694268
4462,2,84.64011872372001,80.85053776733837,88.93849206349206,83.01248699271592,83.2391713747646,86.27729680837317,70.83333333333334,74.05554165624218,78.08898252571569,69.7452229299363,64.09235668789809,77.46815286624204,73.36,67.67515923566879,78.35463258785943,45.17158818834797,51.910828025477706,60.589171974522294
4463,3,70.23250061835272,69.79849177895908,72.13541666666666,66.35015608740895,71.66352793471438,66.7528104406254,72.6246105919003,69.40205153865399,68.75697112405503,52.7292576419214,53.275109170305676,54.80349344978166,56.810631229235874,55.45851528384279,50.16429353778752,60.68281938325991,50.43668122270743,53.7117903930131
4464,4,41.13282216176107,38.21238719248362,45.83333333333333,29.812695109261185,39.73634651600753,41.62036438816384,19.132917964693664,42.21916437327996,37.204114512331145,16.69776119402985,14.925373134328357,20.72829131652661,13.80952380952381,17.257462686567166,21.41509433962264,7.867298578199051,18.785046728971963,15.298507462686567
4465,5,36.68068266139006,25.03399678575844,49.367559523809526,17.156607700312172,27.29441305712492,21.566093810569843,19.132917964693664,25.13134851138354,22.642210930722516,68.66277594519158,47.5019021049962,87.44897959183675,32.36688040144968,52.38095238095239,40.03317666574509,36.57381615598886,47.30010384215992,42.991845056065245
4471,5,54.16769725451398,54.493756953887996,55.332341269841265,68.02809573361083,49.792843691148775,53.223930740405734,47.2871235721703,60.08256192144108,58.074110794398315,91.49961938594265,89.80471722039056,93.54591836734694,95.03763590744354,85.53113553113553,81.0893005252972,81.03064066852367,92.96469366562825,91.84505606523955
4472,5,33.87336136532278,30.75781926072444,39.8313492063492,38.943808532778355,29.99372253609542,21.566093810569843,27.12876427829699,31.048286214660997,30.970380468459535,64.0446587160619,58.05224448389551,73.80102040816327,67.82826874825759,57.14285714285714,40.03317666574509,50.64066852367688,57.71028037383178,57.466870540265035
4474,5,23.4355676477863,19.990110025961183,29.724702380952383,17.156607700312172,27.29441305712492,21.566093810569843,10.033748701973002,9.969977483112334,14.066179204362376,45.31844709464603,38.34643672330713,56.76020408163265,32.36688040144968,52.38095238095239,40.03317666574509,19.554317548746518,19.70404984423676,27.344546381243628
4475,5,24.709374227059115,22.165904314501176,29.724702380952383,23.959417273673257,29.99372253609542,15.221604858508853,10.033748701973002,12.759569677257943,15.268310819184533,47.62750570921086,42.40426071519148,56.76020408163265,44.410370783384444,57.14285714285714,29.029582526956045,19.554317548746518,24.922118380062305,29.510703363914377
4481,3,53.87088795448924,50.006181233774264,59.87103174603175,38.943808532778355,54.01129943502825,41.62036438816384,19.132917964693664,55.05379034275707,45.7181806915355,24.344978165938866,22.816593886462883,32.20524017467249,20.487264673311184,28.16593886462882,23.658269441401973,4.955947136563877,29.03930131004367,18.231441048034934
4482,5,0.0,0.5933984423290889,0.0,9.482310093652444,0.0,0.0,0.0,0.0,1.115379848804065,0.0,1.1919857976160284,0.0,18.037357122943966,0.0,0.0,0.0,0.0,2.166156982670744
4484,5,47.37818451644818,48.3372481147237,46.97420634920635,78.26482830385015,43.27683615819209,32.704483783434554,47.2871235721703,40.71803852889667,52.54678398810262,84.49632073077899,84.27593203144814,84.59183673469389,98.18790075271815,77.99581371009943,56.92562897428809,81.03064066852367,73.26064382139148,87.48725790010194
